365000	0.0879256	Brest_2018_NSI_broyage_ind10_noPCR	139	157	31
370000	0.0891301	Brest_2018_NSI_broyage_ind10_noPCR	139	157	31
375000	0.0903345	Brest_2018_NSI_broyage_ind10_noPCR	139	157	31
380000	0.091539	Brest_2018_NSI_broyage_ind10_noPCR	140	158	31
385000	0.0927435	Brest_2018_NSI_broyage_ind10_noPCR	141	159	31
390000	0.0939479	Brest_2018_NSI_broyage_ind10_noPCR	142	159	31
395000	0.0951524	Brest_2018_NSI_broyage_ind10_noPCR	142	159	31
400000	0.0963568	Brest_2018_NSI_broyage_ind10_noPCR	139	157	31
405000	0.0975613	Brest_2018_NSI_broyage_ind10_noPCR	140	158	31
410000	0.0987658	Brest_2018_NSI_broyage_ind10_noPCR	140	159	30
415000	0.0999702	Brest_2018_NSI_broyage_ind10_noPCR	140	159	30
420000	0.101175	Brest_2018_NSI_broyage_ind10_noPCR	141	160	30
427000	0.102861	Brest_2018_NSI_broyage_ind10_noPCR	142	160	30
434000	0.104547	Brest_2018_NSI_broyage_ind10_noPCR	140	159	30
441000	0.106233	Brest_2018_NSI_broyage_ind10_noPCR	141	160	30
448000	0.10792	Brest_2018_NSI_broyage_ind10_noPCR	141	160	31
455000	0.109606	Brest_2018_NSI_broyage_ind10_noPCR	141	160	31
462000	0.111292	Brest_2018_NSI_broyage_ind10_noPCR	141	161	31
469000	0.112978	Brest_2018_NSI_broyage_ind10_noPCR	140	160	31
476000	0.114665	Brest_2018_NSI_broyage_ind10_noPCR	141	160	31
483000	0.116351	Brest_2018_NSI_broyage_ind10_noPCR	140	159	31
490000	0.118037	Brest_2018_NSI_broyage_ind10_noPCR	141	159	31
497000	0.119723	Brest_2018_NSI_broyage_ind10_noPCR	140	159	31
504000	0.12141	Brest_2018_NSI_broyage_ind10_noPCR	139	159	31
511000	0.123096	Brest_2018_NSI_broyage_ind10_noPCR	139	159	31
518000	0.124782	Brest_2018_NSI_broyage_ind10_noPCR	140	160	31
525000	0.126468	Brest_2018_NSI_broyage_ind10_noPCR	140	160	31
532000	0.128155	Brest_2018_NSI_broyage_ind10_noPCR	139	159	31
539000	0.129841	Brest_2018_NSI_broyage_ind10_noPCR	139	159	31
546000	0.131527	Brest_2018_NSI_broyage_ind10_noPCR	139	159	31
553000	0.133213	Brest_2018_NSI_broyage_ind10_noPCR	139	159	31
560000	0.1349	Brest_2018_NSI_broyage_ind10_noPCR	139	159	31
567000	0.136586	Brest_2018_NSI_broyage_ind10_noPCR	139	159	31
574000	0.138272	Brest_2018_NSI_broyage_ind10_noPCR	141	161	31
581000	0.139958	Brest_2018_NSI_broyage_ind10_noPCR	140	160	31
588000	0.141645	Brest_2018_NSI_broyage_ind10_noPCR	141	161	31
595000	0.143331	Brest_2018_NSI_broyage_ind10_noPCR	140	161	31
602000	0.145017	Brest_2018_NSI_broyage_ind10_noPCR	140	161	31
