Ostreid_herpesvirus_1_strain_microVar_variant_A_complete_genome KY242785.1
Ostreid_herpesvirus_1_complete_genome   AY509253.2
Ostreid_herpesvirus_1_strain_microVar_variant_B_complete_genome KY271630.1
Ostreid_herpesvirus_1_isolate_ZK0118_complete_genome    MF509813.1
Chlamys_acute_necrobiotic_virus_complete_genome GQ153938.1
Abalone_herpesvirus_Taiwan_2005_complete_genome KU096999.1
Ostreid_herpesvirus_1_strain_CDSB2012_complete_genome   KP412538.1
Ostreid_herpesvirus_1_2016_PT_complete_genome   MG561751.2
